,Servicing Fee,Servicing Fee,Servicing Fee,Servicing Fee,Class A Interest,Class A Interest,Class A Interest,Class A Interest,Class B Interest,Class B Interest,Class B Interest,Class B Interest,Class A Principal,Class A Principal,Class A Principal,Class A Principal,Class A Principal,Class B Principal,Class B Principal,Class B Principal,Class B Principal,Class B Principal,Reserve Account,Reserve Account,Reserve Account,Reserve Account,Reserve Account,Reserve Account
,Amount Due,Amount Paid,ShortFall,Available Funds,Interest Due,Interest Paid,Interest ShortFall,Remaining Available Funds,Interest Due,Interest Paid,Interest ShortFall,Remaining Available Funds,Principal Due,Principal Paid,Principal ShortFall,Ending Principal Balance,Remaining Available Funds,Principal Due,Principal Paid,Principal ShortFall,Ending Principal Balance,Remaining Available Funds,Beg Balance(at month end),Collection Account Balance after class B Principal,Account Draw(in current period),Target Reserve Amount,Reserve Contribution Amount,Ending Reserve Balance
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,84792.5,84792.5,0.0,2475244.512,0.0,0.0,0.0,0.0,82055.0,0.0,82055.0,0.0,1543035.676,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,83506.637,83506.637,0.0,2492937.874,0.0,0.0,0.0,0.0,164520.275,0.0,164520.275,0.0,1572050.667,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,82196.595,82196.595,0.0,2509541.901,0.0,0.0,0.0,0.0,247397.876,0.0,247397.876,0.0,1600276.128,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,80863.031,80863.031,0.0,2525295.639,0.0,0.0,0.0,0.0,330689.866,0.0,330689.866,0.0,1627694.693,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,79506.619,79506.619,0.0,2539705.751,0.0,0.0,0.0,0.0,414398.315,0.0,414398.315,0.0,1654288.671,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,78128.045,78128.045,0.0,2552992.016,0.0,0.0,0.0,0.0,498525.307,0.0,498525.307,0.0,1680040.038,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,76728.012,76728.012,0.0,2565142.12,0.0,0.0,0.0,0.0,583072.933,0.0,583072.933,0.0,1704930.422,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,75307.236,75307.236,0.0,2576143.535,0.0,0.0,0.0,0.0,668043.298,0.0,668043.298,0.0,1728941.097,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,73866.452,73866.452,0.0,2585983.518,0.0,0.0,0.0,0.0,753438.514,0.0,753438.514,0.0,1752052.967,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,72406.408,72406.408,0.0,2594649.095,0.0,0.0,0.0,0.0,839260.707,0.0,839260.707,0.0,1774246.553,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,70927.869,70927.869,0.0,2602127.061,0.0,0.0,0.0,0.0,925512.01,0.0,925512.01,0.0,1795501.979,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,69431.618,69431.618,0.0,2608403.965,0.0,0.0,0.0,0.0,1012194.571,0.0,1012194.571,0.0,1815798.952,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,67918.452,67918.452,0.0,2613466.107,0.0,0.0,0.0,0.0,1099310.543,0.0,1099310.543,0.0,1835116.752,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,66389.188,66389.188,0.0,2617299.523,0.0,0.0,0.0,0.0,1186862.096,0.0,1186862.096,0.0,1853434.203,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,64844.659,64844.659,0.0,2619889.977,0.0,0.0,0.0,0.0,1274851.407,0.0,1274851.407,0.0,1870729.659,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,63285.718,63285.718,0.0,2621222.95,0.0,0.0,0.0,0.0,1363280.664,0.0,1363280.664,0.0,1886980.977,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,61713.234,61713.234,0.0,2621283.624,0.0,0.0,0.0,0.0,1452152.067,0.0,1452152.067,0.0,1902165.495,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,60128.096,60128.096,0.0,2620056.875,0.0,0.0,0.0,0.0,1541467.827,0.0,1541467.827,0.0,1916260.001,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,58531.213,58531.213,0.0,2617527.253,0.0,0.0,0.0,0.0,1631230.166,0.0,1631230.166,0.0,1929240.709,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,56923.512,56923.512,0.0,2613678.974,0.0,0.0,0.0,0.0,1721441.317,0.0,1721441.317,0.0,1941083.225,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,55305.943,55305.943,0.0,2604784.322,0.0,0.0,0.0,0.0,1812103.524,0.0,1812103.524,0.0,1948050.943,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,53682.567,53682.567,0.0,2591653.389,0.0,0.0,0.0,0.0,1903219.041,0.0,1903219.041,0.0,1950875.051,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,52056.838,52056.838,0.0,2578440.529,0.0,0.0,0.0,0.0,1994790.137,0.0,1994790.137,0.0,1953636.191,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,50428.807,50428.807,0.0,2565143.066,0.0,0.0,0.0,0.0,2086819.087,0.0,2086819.087,0.0,1956330.217,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,48798.532,48798.532,0.0,2551758.124,0.0,0.0,0.0,0.0,2179308.183,0.0,2179308.183,0.0,1958952.591,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,47166.072,47166.072,0.0,2538282.607,0.0,0.0,0.0,0.0,2272259.724,0.0,2272259.724,0.0,1961498.352,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,45531.49,45531.49,0.0,2524713.196,0.0,0.0,0.0,0.0,2365676.022,0.0,2365676.022,0.0,1963962.094,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,43894.855,43894.855,0.0,2511046.334,0.0,0.0,0.0,0.0,2459559.402,0.0,2459559.402,0.0,1966337.943,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,42256.24,42256.24,0.0,2497278.216,0.0,0.0,0.0,0.0,2553912.199,0.0,2553912.199,0.0,1968619.544,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,40615.724,40615.724,0.0,2483404.79,0.0,0.0,0.0,0.0,2648736.76,0.0,2648736.76,0.0,1970800.057,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,38973.39,38973.39,0.0,2469421.753,0.0,0.0,0.0,0.0,2744035.444,0.0,2744035.444,0.0,1972872.162,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,37329.33,37329.33,0.0,2455324.559,0.0,0.0,0.0,0.0,2839810.621,0.0,2839810.621,0.0,1974828.078,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,35683.64,35683.64,0.0,2441108.431,0.0,0.0,0.0,0.0,2936064.675,0.0,2936064.675,0.0,1976659.601,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,34036.424,34036.424,0.0,2426768.382,0.0,0.0,0.0,0.0,3032799.998,0.0,3032799.998,0.0,1978358.168,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,32387.792,32387.792,0.0,2412299.246,0.0,0.0,0.0,0.0,3130018.998,0.0,3130018.998,0.0,1979914.933,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,30737.863,30737.863,0.0,2397695.727,0.0,0.0,0.0,0.0,3227724.093,0.0,3227724.093,0.0,1981320.885,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,29086.762,29086.762,0.0,2382952.45,0.0,0.0,0.0,0.0,3325917.713,0.0,3325917.713,0.0,1982566.988,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,27434.623,27434.623,0.0,2368064.037,0.0,0.0,0.0,0.0,3424602.302,0.0,3424602.302,0.0,1983644.354,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,25781.586,25781.586,0.0,2353025.194,0.0,0.0,0.0,0.0,3523780.313,0.0,3523780.313,0.0,1984544.453,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,24127.799,24127.799,0.0,2337830.819,0.0,0.0,0.0,0.0,3623454.215,0.0,3623454.215,0.0,1985259.353,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,22473.416,22473.416,0.0,2322476.123,0.0,0.0,0.0,0.0,3723626.486,0.0,3723626.486,0.0,1985781.983,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,20818.598,20818.598,0.0,2306956.768,0.0,0.0,0.0,0.0,3824299.618,0.0,3824299.618,0.0,1986106.426,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,19163.509,19163.509,0.0,2291269.017,0.0,0.0,0.0,0.0,3925476.117,0.0,3925476.117,0.0,1986228.215,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,17508.319,17508.319,0.0,2275409.899,0.0,0.0,0.0,0.0,4027158.497,0.0,4027158.497,0.0,1986144.639,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,15853.198,15853.198,0.0,2259377.376,0.0,0.0,0.0,0.0,4129349.29,0.0,4129349.29,0.0,1985855.022,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,14198.319,14198.319,0.0,2243170.502,0.0,0.0,0.0,0.0,4232051.036,0.0,4232051.036,0.0,1985360.976,0.0,0.0,85340000.0,0.0,1358378.087,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,12543.852,12543.852,0.0,2226789.585,0.0,0.0,0.0,0.0,4335266.291,0.0,4335266.291,0.0,1984666.594,0.0,0.0,85340000.0,0.0,1984666.594,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,10889.963,10889.963,0.0,2210236.318,0.0,0.0,0.0,0.0,4438997.623,0.0,4438997.623,0.0,1983778.58,0.0,0.0,85340000.0,0.0,1983778.58,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,9236.814,9236.814,0.0,2193513.888,0.0,0.0,0.0,0.0,4543247.611,0.0,4543247.611,0.0,1982706.271,0.0,0.0,85340000.0,0.0,1982706.271,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,7584.559,7584.559,0.0,2176627.038,0.0,0.0,0.0,0.0,4648018.849,0.0,4648018.849,0.0,1981461.569,0.0,0.0,85340000.0,0.0,1981461.569,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,5933.341,5933.341,0.0,2159582.089,0.0,0.0,0.0,0.0,4753313.943,0.0,4753313.943,0.0,1980058.747,0.0,0.0,85340000.0,0.0,1980058.747,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,4283.292,4283.292,0.0,2142386.892,0.0,0.0,0.0,0.0,4859135.513,0.0,4859135.513,0.0,1978514.14,0.0,0.0,85340000.0,0.0,1978514.14,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,2634.53,2634.53,0.0,2125050.725,0.0,0.0,0.0,0.0,4965486.19,0.0,4965486.19,0.0,1976845.722,0.0,0.0,85340000.0,0.0,1976845.722,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,987.159,987.159,0.0,2107584.12,0.0,0.0,0.0,0.0,5072368.621,0.0,5072368.621,0.0,1975072.589,0.0,0.0,85340000.0,0.0,1975072.589,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,-658.735,-658.735,0.0,2089998.628,0.0,0.0,0.0,0.0,5179785.464,0.0,5179785.464,0.0,1973214.365,0.0,0.0,85340000.0,0.0,1973214.365,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,-2303.081,-2303.081,0.0,2072306.526,0.0,0.0,0.0,0.0,5287739.392,0.0,5287739.392,0.0,1971290.562,0.0,0.0,85340000.0,0.0,1971290.562,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,-3945.823,-3945.823,0.0,2054520.473,0.0,0.0,0.0,0.0,5396233.089,0.0,5396233.089,0.0,1969319.934,0.0,0.0,85340000.0,0.0,1969319.934,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,-5586.923,-5586.923,0.0,2036653.146,0.0,0.0,0.0,0.0,5505269.254,0.0,5505269.254,0.0,1967319.856,0.0,0.0,85340000.0,0.0,1967319.856,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,-7226.356,-7226.356,0.0,2018716.852,0.0,0.0,0.0,0.0,5614850.6,0.0,5614850.6,0.0,1965305.759,0.0,0.0,85340000.0,0.0,1965305.759,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,-8864.111,-8864.111,0.0,2211121.037,0.0,0.0,0.0,0.0,5724979.853,0.0,0.0,0.0,2173688.55,0.0,0.0,85340000.0,0.0,2173688.55,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
